iteration,SA
100.0,2328.2007823960316
200.0,2741.448321008789
300.0,2957.1702229834896
400.0,3077.6295219655317
500.0,3150.116347090634
600.0,3198.4408971740354
700.0,3232.9584329478935
800.0,3258.8465847782873
900.0,3278.9818139797044
1000.0,3295.0899973408386
1100.0,3308.2694200908572
1200.0,3319.252272382539
1300.0,3328.545455090872
1400.0,3336.5110402694227
1500.0,3343.4145474241664
1600.0,3349.455116184567
1700.0,3354.785029796685
1800.0,3359.5227307852347
1900.0,3363.7617264065684
2000.0,3367.576822465769
2100.0,3371.0285760431407
2200.0,3374.1665338407515
2300.0,3377.031625742918
2400.0,3379.6579599865704
2500.0,3382.0741874907308
2600.0,3384.3045513407246
2700.0,3386.3697030536823
2800.0,3388.28734393
2900.0,3390.0727337113995
3000.0,3391.7390975073718
3100.0,3393.297953961669
3200.0,3394.759381887572
3300.0,3396.132238424027
3400.0,3397.4243386936314
3500.0,3398.6426046621154
3600.0,3399.793189187906
3700.0,3400.881579955546
3800.0,3401.912686998573
3900.0,3402.8909167573424
4000.0,3403.820235028173
4100.0,3404.704220700427
4200.0,3405.546111816859
4300.0,3406.3488452069455
4400.0,3407.115090715665
4500.0,3407.8472808684405
4600.0,3408.5476366667476
4700.0,3409.218190090659
4800.0,3409.8608037885742
4900.0,3410.477188355962
5000.0,3411.0689175406546
5100.0,3411.6374416592803
5200.0,3412.184099465652
5300.0,3412.710128675556
5400.0,3413.2166753221304
5500.0,3413.7048020906477
5600.0,3414.1754957602893
5700.0,3414.6296738625747
5800.0,3415.068190650989
5900.0,3415.4918424635243
6000.0,3415.901372548975
6100.0,3416.2974754185093
6200.0,3416.6808007761233
6300.0,3417.0519570747656
6400.0,3417.4115147390753
6500.0,3417.7600090906367
6600.0,3418.0979430073025
6700.0,3418.4257893443664
6800.0,3418.743993142105
6900.0,3419.0529736413578
7000.0,3419.353126126347
7100.0,3419.6448236117585
7200.0,3419.9284183892423
7300.0,3420.204243446795
7400.0,3420.472613773062
7500.0,3420.7338275572956
7600.0,3420.9881672945758
7700.0,3421.2359008049134
7800.0,3421.4772821739602
7900.0,3421.7125526222717
8000.0,3421.9419413093756
8100.0,3422.1656660782796
8200.0,3422.3839341455027
8300.0,3422.5969427412265
8400.0,3422.8048797037186
8500.0,3423.007924031799
8600.0,3423.206246398762
8700.0,3423.400009630852
8800.0,3423.5893691531214
8900.0,3423.7744734052276
9000.0,3423.9554642295093
9100.0,3424.132477233477
9200.0,3424.305642128663
9300.0,3424.475083047608
9400.0,3424.6409188406187
9500.0,3424.803263353776
9600.0,3424.962225689576
9700.0,3425.117910451442
9800.0,3425.27041797327
9900.0,3425.4198445350607
10000.0,3425.566282565616
10100.0,3425.70982083319
10200.0,3425.850544624929
10300.0,3425.9885359158575
10400.0,3426.1238735281145
10500.0,3426.25663328109
10600.0,3426.386888133067
10700.0,3426.5147083149127
10800.0,3426.640161456354
10900.0,3426.763312705292
11000.0,3426.8842248406127
11100.0,3427.0029583789005
11200.0,3427.1195716754332
11300.0,3427.234121019815
11400.0,3427.3466607265764
11500.0,3427.4572432210457
11600.0,3427.5659191207833
11700.0,3427.672737312833
11800.0,3427.777745027051
11900.0,3427.8809879057358
12000.0,3427.9825100697763
12100.0,3428.0823541815184
12200.0,3428.1805615045437
12300.0,3428.2771719605275
12400.0,3428.3722241833507
12500.0,3428.4657555706085
12600.0,3428.5578023326716
12700.0,3428.648399539427
12800.0,3428.737581164826
12900.0,3428.825380129367
13000.0,3428.9118283406074
13100.0,3428.9969567318285
13200.0,3429.0807952989403
13300.0,3429.163373135719
13400.0,3429.244718467472
13500.0,3429.3248586831987
13600.0,3429.4038203663413
13700.0,3429.4816293241824
13800.0,3429.558310615968
13900.0,3429.633888579814
14000.0,3429.7083868584623
14100.0,3429.7818284239384
14200.0,3429.854235601168
14300.0,3429.9256300906045
14400.0,3429.99603298991
14500.0,3430.065464814742
14600.0,3430.1339455186862
14700.0,3430.2014945123724
14800.0,3430.26813068182
14900.0,3430.3338724060395
15000.0,3430.3987375739366
15100.0,3430.4627436005367
15200.0,3430.5259074425767
15300.0,3430.5882456134786
15400.0,3430.6497741977455
15500.0,3430.710508864796
15600.0,3430.770464882269
15700.0,3430.829657128819
15800.0,3430.8881001064246
15900.0,3430.945807952237
16000.0,3431.0027944499766
16100.0,3431.059073040912
16200.0,3431.1146568344284
16300.0,3431.1695586182086
16400.0,3431.22379086804
16500.0,3431.2773657572675
16600.0,3431.330295165902
16700.0,3431.382590689403
16800.0,3431.4342636471483
16900.0,3431.4853250906003
17000.0,3431.5357858111884
17100.0,3431.58565634791
17200.0,3431.63494699467
17300.0,3431.683667807363
17400.0,3431.7318286107147
17500.0,3431.7794390048853
17600.0,3431.8265083718493
17700.0,3431.87304588156
17800.0,3431.9190604979026
17900.0,3431.964560984454
18000.0,3432.009555910043
18100.0,3432.054053654135
18200.0,3432.0980624120275
18300.0,3432.141590199888
18400.0,3432.18464485962
18500.0,3432.2272340635714
18600.0,3432.2693653190927
18700.0,3432.311045972951
18800.0,3432.352283215598
18900.0,3432.393084085307
19000.0,3432.433455472177
19100.0,3432.4734041220113
19200.0,3432.512936640077
19300.0,3432.5520594947425
19400.0,3432.59077902101
19500.0,3432.6291014239305
19600.0,3432.667032781943
19700.0,3432.7045790500447
19800.0,3432.7417460629135
19900.0,3432.778539537964
