iteration,RHC
100.0,2854.3206608927653
200.0,3124.948078881706
300.0,3248.297922029735
400.0,3309.972843603772
500.0,3346.9777965482
600.0,3371.647765177818
700.0,3389.269171341831
800.0,3402.485225964841
900.0,3412.7643795605154
1000.0,3420.987702437055
1100.0,3427.7158756996782
1200.0,3433.322686751864
1300.0,3438.066911488301
1400.0,3442.133389833811
1500.0,3445.6576710665868
1600.0,3448.741417145265
1700.0,3451.4623695676287
1800.0,3453.880993943063
1900.0,3456.0450262789777
2000.0,3457.992655381301
2100.0,3459.7547959976887
2200.0,3461.356742012587
2300.0,3462.8193883740155
2400.0,3464.1601475386583
2500.0,3465.393645970159
2600.0,3466.5322599069364
2700.0,3467.5865320706193
2800.0,3468.565499079754
2900.0,3469.4769511227405
3000.0,3470.327639696195
3100.0,3471.1234451358782
3200.0,3471.8695127355813
3300.0,3472.570364117121
3400.0,3473.2299889468045
3500.0,3473.851920929078
3600.0,3474.4393011345587
3700.0,3474.9949310586617
3800.0,3475.521317302549
3900.0,3476.0207093800827
4000.0,3476.49513185374
4100.0,3476.946411767707
4200.0,3477.376202161961
4300.0,3477.7860023053195
4400.0,3478.177175169434
4500.0,3478.550962572922
4600.0,3478.9084983501707
4700.0,3479.2508198390265
4800.0,3479.5788779325126
4900.0,3479.893545899734
5000.0,3480.195627148267
5100.0,3480.485862073328
5200.0,3480.7649341166557
5300.0,3481.0334751394807
5400.0,3481.292070198497
5500.0,3481.541261800822
5600.0,3481.781553703064
5700.0,3482.0134143104906
5800.0,3482.2372797245575
5900.0,3482.4535564805205
6000.0,3482.662624011285
6100.0,3482.8648368689096
6200.0,3483.0605267311266
6300.0,3483.2500042167653
6400.0,3483.433560530978
6500.0,3483.6114689585997
6600.0,3483.783986221748
6700.0,3483.951353715847
6800.0,3484.1137986365898
6900.0,3484.2715350089056
7000.0,3484.4247646277263
7100.0,3484.5736779192566
7200.0,3484.718454730467
7300.0,3484.8592650536984
7400.0,3484.996269692518
7500.0,3485.129620874303
7600.0,3485.259462814462
7700.0,3485.3859322366948
7800.0,3485.509158853229
7900.0,3485.6292658085854
8000.0,3485.7463700900576
8100.0,3485.86058290779
8200.0,3485.972010047041
8300.0,3486.0807521949846
8400.0,3486.186905244168
8500.0,3486.290560574547
8600.0,3486.3918053158473
8700.0,3486.4907225918305
8800.0,3486.587391747905
8900.0,3486.681888563393
9000.0,3486.7742854496487
9100.0,3486.864651635107
9200.0,3486.953053338273
9300.0,3487.0395539295428
9400.0,3487.1242140827007
9500.0,3487.2070919168445
9600.0,3487.288243129444
9700.0,3487.3677211211643
9800.0,3487.4455771130542
9900.0,3487.5218602566233
10000.0,3487.5966177373207
10100.0,3487.669894871866
10200.0,3487.7417351998515
10300.0,3487.8121805700116
10400.0,3487.8812712215154
10500.0,3487.949045860609
10600.0,3488.015541732928
10700.0,3488.080794691745
10800.0,3488.144839262436
10900.0,3488.2077087033895
11000.0,3488.2694350635984
11100.0,3488.3300492371372
11200.0,3488.3895810147196
11300.0,3488.448059132522
11400.0,3488.5055113184326
11500.0,3488.561964335893
11600.0,3488.6174440254663
11700.0,3488.6719753442776
11800.0,3488.725582403448
11900.0,3488.7782885036404
12000.0,3488.83011616883
12100.0,3488.8810871783962
12200.0,3488.9312225976423
12300.0,3488.980542806819
12400.0,3489.0290675287506
12500.0,3489.076815855132
12600.0,3489.12380627157
12700.0,3489.1700566814507
12800.0,3489.2155844286767
12900.0,3489.260406319356
13000.0,3489.3045386424874
13100.0,3489.3479971896927
13200.0,3489.3907972740612
13300.0,3489.432953748139
13400.0,3489.474481021111
13500.0,3489.515393075224
13600.0,3489.5557034814824
13700.0,3489.595425414657
13800.0,3489.63457166764
13900.0,3489.673154665185
14000.0,3489.711186477051
14100.0,3489.748678830592
14200.0,3489.785643122816
14300.0,3489.822090431932
14400.0,3489.8580315284207
14500.0,3489.893476885648
14600.0,3489.9284366900365
14700.0,3489.962920850828
14800.0,3489.9969390094466
14900.0,3490.0305005484865
15000.0,3490.063614600339
15100.0,3490.096290055478
15200.0,3490.1285355704185
15300.0,3490.1603595753595
15400.0,3490.191770281535
15500.0,3490.2227756882758
15600.0,3490.253383589802
15700.0,3490.2836015817547
15800.0,3490.31343706748
15900.0,3490.342897264077
16000.0,3490.3719892082163
16100.0,3490.400719761745
16200.0,3490.4290956170826
16300.0,3490.4571233024158
16400.0,3490.484809186708
16500.0,3490.512159484524
16600.0,3490.53918026068
16700.0,3490.565877434726
16800.0,3490.5922567852717
16900.0,3490.6183239541538
17000.0,3490.644084450461
17100.0,3490.6695436544137
17200.0,3490.694706821111
17300.0,3490.7195790841474
17400.0,3490.7441654591025
17500.0,3490.7684708469155
17600.0,3490.7925000371397
17700.0,3490.81625771109
17800.0,3490.839748444884
17900.0,3490.8629767123784
18000.0,3490.885946888012
18100.0,3490.9086632495496
18200.0,3490.931129980741
18300.0,3490.9533511738864
18400.0,3490.975330832324
18500.0,3490.9970728728326
18600.0,3491.018581127959
18700.0,3491.0398593482714
18800.0,3491.060911204538
18900.0,3491.0817402898388
19000.0,3491.10235012161
19100.0,3491.1227441436245
19200.0,3491.1429257279096
19300.0,3491.1628981765766
19400.0,3491.182664723702
19500.0,3491.202228537011
19600.0,3491.2215927195716
19700.0,3491.2407603114466
19800.0,3491.2597342912823
19900.0,3491.278517577853
