iteration,GA
100.0,2863.9923367384963
200.0,3068.4116689768216
300.0,3173.357380497259
400.0,3233.959179364766
500.0,3283.8260367392063
600.0,3317.2254021608746
700.0,3335.6069926113933
800.0,3347.0732016483944
900.0,3355.2839778638545
1000.0,3367.1410641204097
1100.0,3376.9808773497784
1200.0,3382.7240668354398
1300.0,3388.798074404708
1400.0,3395.4877419182035
1500.0,3404.0531280056057
1600.0,3410.693735778819
1700.0,3419.065875807469
1800.0,3425.669434550421
1900.0,3433.8429180198195
2000.0,3439.901207033806
2100.0,3444.2039029223
2200.0,3448.9571579652234
2300.0,3451.5324090307636
2400.0,3454.857018239587
2500.0,3457.5440176511647
2600.0,3459.634663860934
2700.0,3461.0883223199967
2800.0,3462.9766072575003
2900.0,3464.041720097002
3000.0,3466.0188887669624
3100.0,3468.294475571989
3200.0,3470.381154642938
3300.0,3472.5710083513363
3400.0,3474.537947381188
3500.0,3475.8961481414067
3600.0,3476.541121393075
3700.0,3476.5421012298993
3800.0,3477.237513254685
3900.0,3478.565520326479
4000.0,3479.5290105943513
4100.0,3480.780966698426
4200.0,3482.9041436925854
4300.0,3484.3720554014853
4400.0,3485.148708683151
4500.0,3485.9287511112157
4600.0,3486.8411086228075
4700.0,3488.591337042074
4800.0,3490.486036312564
4900.0,3491.8712951885195
5000.0,3492.683551360716
5100.0,3493.3932232503103
5200.0,3493.68341019728
5300.0,3493.6882981952463
5400.0,3494.4885136912217
5500.0,3495.958778705567
5600.0,3497.620719912107
5700.0,3499.1315883204597
5800.0,3500.771767586646
5900.0,3502.383291356508
6000.0,3504.058698181143
6100.0,3505.6093333067183
6200.0,3506.3269092412047
6300.0,3506.76145951489
6400.0,3506.742344191695
6500.0,3506.9466895711644
6600.0,3507.2052999021757
6700.0,3507.839721507472
6800.0,3508.679586013378
6900.0,3509.2716166678993
7000.0,3508.9170988986684
7100.0,3508.3885200407153
7200.0,3508.4829250092625
7300.0,3508.6496003564157
7400.0,3509.0534333738924
7500.0,3509.3529865648766
7600.0,3509.7092234664597
7700.0,3509.638774039238
7800.0,3510.179358497645
7900.0,3510.7189739862433
8000.0,3511.2964429850485
8100.0,3512.1313342387034
8200.0,3512.9119656914295
8300.0,3513.419107077275
8400.0,3514.031155002584
8500.0,3514.9680170426386
8600.0,3515.7968732482773
8700.0,3516.568254610087
8800.0,3516.8307968528475
8900.0,3516.998274397689
9000.0,3517.2902873361572
9100.0,3517.6640759218685
9200.0,3517.8155417432463
9300.0,3517.7715431824704
9400.0,3517.5962142687154
9500.0,3517.28778155113
9600.0,3516.8365521790647
9700.0,3516.3695127772876
9800.0,3516.061373742948
9900.0,3516.097173468361
10000.0,3516.2665609163264
10100.0,3516.9379019096145
10200.0,3517.2667741470245
10300.0,3517.6688817497884
10400.0,3517.9948019779954
10500.0,3518.691499098087
10600.0,3519.23251501164
10700.0,3519.6870251323744
10800.0,3520.1099104328873
10900.0,3520.44161234966
11000.0,3520.6811426726877
11100.0,3521.0604762114986
11200.0,3521.530431617836
11300.0,3521.5003757857216
11400.0,3521.410829201074
11500.0,3521.378531057409
11600.0,3521.3113542698825
11700.0,3521.1250919687086
11800.0,3521.2415280048804
11900.0,3521.3377218186192
12000.0,3521.146827533161
12100.0,3520.8476086866867
12200.0,3520.9189986819983
12300.0,3521.185274364485
12400.0,3521.3482943337617
12500.0,3521.61380715142
12600.0,3521.990772841337
12700.0,3522.11083580599
12800.0,3522.334113010629
12900.0,3522.261658840311
13000.0,3522.4970964268286
13100.0,3522.453461910213
13200.0,3522.356750819572
13300.0,3522.5235472560053
13400.0,3522.748482095053
13500.0,3523.1521098275343
13600.0,3523.7959736456114
13700.0,3524.1532112399914
13800.0,3524.6704782569013
13900.0,3525.0153029024896
14000.0,3525.316318183822
14100.0,3525.4095078460878
14200.0,3525.3613600003564
14300.0,3525.5744779336114
14400.0,3525.5456795879445
14500.0,3525.498201150816
14600.0,3525.264031242557
14700.0,3525.330575952222
14800.0,3525.4432715061052
14900.0,3525.5885052130575
15000.0,3526.0566527414967
15100.0,3526.25385338622
15200.0,3526.6057107523984
15300.0,3527.1981523962604
15400.0,3527.7099319392337
15500.0,3528.0404727563014
15600.0,3528.0902268455634
15700.0,3528.132498557589
15800.0,3528.339774823987
15900.0,3528.4043959736696
16000.0,3528.5573957577285
16100.0,3528.7921331030207
16200.0,3529.2647567890476
16300.0,3529.8462060336456
16400.0,3530.281698722301
16500.0,3530.4790843979476
16600.0,3530.4181469716027
16700.0,3530.2706642145054
16800.0,3530.1043552798733
16900.0,3529.9321182730014
17000.0,3529.530397744978
17100.0,3529.522301963978
17200.0,3529.3391929160402
17300.0,3529.07321508373
17400.0,3528.9945469374743
17500.0,3529.0035789487806
17600.0,3529.0093174281155
17700.0,3528.9238754276303
17800.0,3528.9221965125757
17900.0,3528.918342477379
18000.0,3528.7559848655073
18100.0,3528.4607292005453
18200.0,3528.3796102626725
18300.0,3528.4368971699605
18400.0,3528.247540689481
18500.0,3528.048646009652
18600.0,3527.7020734252915
18700.0,3527.2017396571496
18800.0,3527.0782572934972
18900.0,3527.040454101074
19000.0,3527.064031128941
19100.0,3526.7908220651284
19200.0,3526.487466638463
19300.0,3526.295073168026
19400.0,3526.0347490392473
19500.0,3525.837259684479
19600.0,3525.4812799583246
19700.0,3525.293687356964
19800.0,3525.3282014184942
19900.0,3525.143280669667
